wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
1/5-1,1/5-1,Phillips Petroleum Company Norway,018 ,WILDCAT,JUNKED,NOT APPLICABLE,EXPLORATION, NO,12.10.1973,19.10.1973,,99-L,,NO,0.0,,LINE PG 56 3445  SP.32,0.0,27.0,491.0,491.0,70.0,,PLIOCENE            ,NORDLAND GP         ,NORTH SEA,OCEAN VIKING,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1973,1973,,,80,,,,,                    ,                    ,8,NO,,,,ED50  ,56,34,40.5,N,2,38,28.0,E,56.57791700000001,2.641111,6270600.43,477951.01,31,1,5, ,1,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=237,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=237,initial             ,                                        ,01.01.2010,19.10.1975,,237,,,296407.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/4-1,2/4-1,Phillips Petroleum Company Norway,018 ,WILDCAT,JUNKED,OIL/GAS SHOWS,EXPLORATION, NO,25.08.1969,16.09.1969,,33-L,,NO,0.0,,PG S6331 & SP 12-1,0.0,27.0,1662.0,1662.0,70.5,,MIOCENE             ,NORDLAND GP         ,NORTH SEA,OCEAN VIKING,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1969,1969,,,12,,,,,                    ,                    ,23,NO,,,,ED50  ,56,32,40.23,N,3,11,55.22,E,56.54450799999999,3.198672,6266841.71,512216.57,31,2,4, ,1,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=895,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=895,initial             ,                                        ,18.01.2007,16.09.1971,,895,,,296407.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/4-13,2/4-13,Saga Petroleum ASA,146 ,WILDCAT,JUNKED,NOT APPLICABLE,EXPLORATION, NO,03.09.1988,06.10.1988,,588-L,,NO,65.0,,LINJE  NS - 5 - 235    SP 585,2.9,26.0,2517.0,2518.0,69.0,,OLIGOCENE           ,HORDALAND GP        ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1988,1988,,,80,,,,,                    ,                    ,33,NO,,,,ED50  ,56,41,3.98,N,3,8,44.53,E,56.684439000000005,3.1457029999999997,6282409.61,508926.35,31,2,4, ,13,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1313,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1313,initial             ,                                        ,13.12.2005,06.10.1990,,1313,,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/4-16 R,2/4-16,Saga Petroleum ASA,146 ,WILDCAT,JUNKED,SHOWS,EXPLORATION, NO,04.06.1992,15.07.1992,,680-L2,,NO,0.0,,BB-87-043A- SP.10870,3.1,26.0,0.0,4973.0,67.5,,MIDDLE JURASSIC     ,BRYNE FM            ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1992,1992,,DRILLING/PLUGGING,12,,,,,                    ,                    ,42,YES,,,,ED50  ,56,40,37.23,N,3,9,2.07,E,56.677007999999994,3.150575,6281583.13,509226.66,31,2,4, ,16,R,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1956,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1956,re-entry            ,2/4-16                                  ,18.01.2007,15.07.1994,,1956,,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/7-17,2/7-17,Phillips Petroleum Company Norway,018 ,WILDCAT,JUNKED,NOT APPLICABLE,EXPLORATION, NO,24.06.1980,12.07.1980,,253-L,,NO,51.0,,PG 0306 15 SP.12,0.0,25.0,1600.0,1600.0,73.0,,MIOCENE             ,NORDLAND GP         ,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1980,1980,,,80,,,,,                    ,                    ,19,NO,,,,ED50  ,56,20,13.0,N,3,6,4.0,E,56.336943999999995,3.101111,6243724.74,506251.41,31,2,7, ,17,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=200,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=200,initial             ,                                        ,18.01.2007,12.07.1982,,200,,,288334.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/7-18,2/7-18,Phillips Petroleum Company Norway,018 ,WILDCAT,JUNKED,NOT APPLICABLE,EXPLORATION, NO,20.08.1980,31.08.1980,,259-L,,NO,0.0,,PG 0306 15 & SP 12,0.0,25.0,601.0,601.0,73.0,,PLIOCENE            ,NORDLAND GP         ,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1980,1980,,,80,,,,,                    ,                    ,12,NO,,,,ED50  ,56,20,18.36,N,3,6,13.61,E,56.338432999999995,3.103781,6243890.71,506416.2,31,2,7, ,18,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=206,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=206,initial             ,                                        ,18.01.2007,31.08.1982,,206,,,288334.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/8-16 S,2/8-16,Amoco Norway Oil Company,006 ,WILDCAT,JUNKED,NOT APPLICABLE,EXPLORATION, NO,08.02.1997,14.03.1997,,874-L,,NO,0.0,, ,81.4,43.5,2101.0,3139.0,69.2,376.0,EOCENE              ,HORDALAND GP        ,NORTH SEA,VALHALL,JACKET 8 LEGS,FIXED,1-A,NO,WILDCAT,1997,1997,,,80,,,,,                    ,                    ,35,NO,,,,ED50  ,56,16,40.75,N,3,23,43.61,E,56.277986,3.3954470000000003,6237227.94,524486.99,31,2,8, ,16,S,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=3008,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=3008,initial             ,                                        ,18.01.2007,14.03.1999,,3008,,,271749.0,0,20804.0,,03.10.2019,03.10.2019,08.12.2019
8/10-4 B,8/10-4,Centrica Resources (Norge) AS,405 ,APPRAISAL,JUNKED,NOT APPLICABLE,EXPLORATION, NO,22.12.2011,02.01.2012,ODA,1388-L,8/10-4 S Oda,NO,0.0,,site survey lines CE1001  D 22A and CE1001 D 19,48.9,44.0,2142.0,2549.0,66.0,1038.0,                    ,NORDLAND GP         ,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,TFO2006,NO,APPRAISAL,2011,2012,,,80,,,,,                    ,                    ,12,NO,,,,ED50  ,57,3,53.8,N,3,2,43.6,E,57.064944,3.045444,6324758.01,502755.98,31,8,10, ,4,B,,https://www.npd.no/fakta/nyheter/Resultat-av-leteboring/2012/810-4-B,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6755,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=6755,sidetrack           ,8/10-4 A                                ,02.01.2014,02.01.2014,,6755,21118177.0,29412516.0,292114.0,0,4237284.0,,03.10.2019,03.10.2019,08.12.2019
15/3-10,15/3-10,Equinor Energy AS,025 ,APPRAISAL,JUNKED,NOT APPLICABLE,EXPLORATION, NO,05.06.2018,13.06.2018,,1697-L,15/3-4 (Sigrun),NO,,,ST09M10-FULL-OFFSET-DISPSCAN-FORMATION. inline 2454 Xline 3066,,23.0,,990.0,108.5,,                    ,,NORTH SEA,DEEPSEA BERGEN,SEMISUB STEEL,MOVEABLE,2-A,NO,APPRAISAL,2018,2018,,,80,,,,,,                    ,9,NO,,11.08.2018,13.06.2018,ED50  ,58,49,9.04,N,1,52,2.38,E,58.819178,1.8673279999999999,6520620.8,434583.23,31,15,3, ,10,,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8442,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=8442,initial             ,                                        ,,13.06.2020,,8442,43886.0,,287983.0,0,34512.0,,01.11.2019,,08.12.2019
15/12-13 A,15/12-13,Pertra AS (OLD),038 ,APPRAISAL,JUNKED,NOT APPLICABLE,EXPLORATION, NO,11.05.2003,17.05.2003,REV,1061-L,15/12-12 Rev,NO,132.0,,Survey x-line 896 in-line 1927 at 2645ms,42.0,18.0,2530.0,2532.0,87.0,1350.0,PALEOCENE           ,SELE FM             ,NORTH SEA,WEST ALPHA,SEMISUB STEEL,MOVEABLE,3,NO,APPRAISAL,2003,2003,,,80,,,,,                    ,                    ,7,NO,,,,ED50  ,58,2,3.83,N,1,55,4.57,E,58.034397,1.917936,6433197.92,436099.9,31,15,12, ,13,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4754,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=4754,sidetrack           ,15/12-13                                ,15.06.2005,17.05.2005,,4754,1626017.0,4467554.0,297514.0,0,21092.0,,03.10.2019,29.10.2019,08.12.2019
