wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
1/9-3,1/9-3,Den norske stats oljeselskap a.s,044 ,APPRAISAL,SUSPENDED,DRY,EXPLORATION, NO,13.08.1977,27.11.1977,,181-L,1/9-1 Tommeliten Alpha,NO,116.0,,line no 404-404&SP476,0.75,35.8,2771.0,2771.0,76.5,,EOCENE              ,HORDALAND GP        ,NORTH SEA,DYVI GAMMA,JACK-UP 3 LEGS,MOVEABLE,3,NO,WILDCAT,1977,1977,,,1,,,,,                    ,                    ,107,NO,,,,ED50  ,56,24,55.68,N,2,54,15.22,E,56.41546700000001,2.904228,6252464.47,494090.84,31,1,9, ,3,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=245,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=245,initial             ,                                        ,18.01.2007,27.11.1979,,245,43850.0,,288226.0,0,21140.0,,03.10.2019,03.10.2019,08.12.2019
1/9-4,1/9-4,Den norske stats oljeselskap a.s,044 ,WILDCAT,SUSPENDED,GAS/CONDENSATE,EXPLORATION, NO,13.08.1977,12.01.1978,TOMMELITEN GAMMA,182-L,1/9-4 Tommeliten Gamma,YES,150.0,,line 404-410 shot point 100,7.5,25.0,0.0,3710.0,75.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,ROSS RIG (1),SEMISUB STEEL,MOVEABLE,3,NO,WILDCAT,1977,1978,,,17,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,153,NO,,,,ED50  ,56,29,3.76,N,2,56,0.29,E,56.484378,2.933414,6260132.83,495899.06,31,1,9, ,4,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=247,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=247,initial             ,                                        ,26.05.2009,12.01.1980,,247,43856.0,43444.0,446033.0,0,21140.0,,03.10.2019,03.10.2019,08.12.2019
1/9-6 S,1/9-6,Den norske stats oljeselskap a.s,044 ,APPRAISAL,SUSPENDED,GAS/CONDENSATE,EXPLORATION, NO,21.03.1982,01.12.1982,TOMMELITEN GAMMA,318-L,1/9-4 Tommeliten Gamma,NO,135.0,,ST 404-410.shot point 100,32.5,26.0,3529.0,3880.0,76.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,SEDCO 703,SEMISUB STEEL,MOVEABLE,3,NO,APPRAISAL,1982,1982,,,17,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,256,NO,,,,ED50  ,56,29,3.85,N,2,56,0.14,E,56.484403,2.9333720000000003,6260135.61,495896.49,31,1,9, ,6,S,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=44,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=44,initial             ,                                        ,10.10.2012,01.12.1984,,44,43856.0,43444.0,288793.0,0,21140.0,,03.10.2019,03.10.2019,08.12.2019
2/4-14,2/4-14,Saga Petroleum ASA,146 ,WILDCAT,SUSPENDED,OIL/GAS,EXPLORATION, NO,06.10.1988,31.01.1989,,593-L,2/4-14,YES,150.0,,LINJE NS-5-235 & SP585,2.2,26.0,4733.0,4734.0,68.0,,EARLY CRETACEOUS    ,MANDAL FM           ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1988,1989,,,13,MANDAL FM,EARLY CRETACEOUS,,,                    ,                    ,118,NO,,,,ED50  ,56,41,5.26,N,3,8,43.08,E,56.684794,3.1453,6282449.13,508901.59,31,2,4, ,14,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1343,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1343,initial             ,                                        ,13.12.2005,31.01.1991,,1343,34735108.0,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/4-15 S,2/4-15,Saga Petroleum ASA,146 ,WILDCAT,SUSPENDED,DRY,EXPLORATION, NO,31.01.1989,16.03.1990,,602-L,,NO,158.0,,BB - 87 - 043    SP.  1987,29.3,26.0,4706.0,4962.0,68.0,,EARLY CRETACEOUS    ,MANDAL FM           ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1989,1990,,,1,,,,,                    ,                    ,410,NO,,,,ED50  ,56,40,27.25,N,3,8,38.79,E,56.674236,3.144108,6281273.69,508831.06,31,2,4, ,15,S,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1371,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1371,initial             ,                                        ,13.12.2005,16.03.1992,,1371,,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/4-16,2/4-16,Saga Petroleum ASA,146 ,WILDCAT,SUSPENDED,SHOWS,EXPLORATION, NO,07.05.1991,04.11.1991,,680-L,,NO,172.0,,BB-87-043A- SP. 10870,3.1,26.0,4995.0,4996.0,67.5,,MIDDLE JURASSIC     ,BRYNE FM            ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1991,1991,,,12,,,,,                    ,                    ,182,NO,,,,ED50  ,56,40,37.23,N,3,9,2.07,E,56.677007999999994,3.150575,6281583.13,509226.66,31,2,4, ,16,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1702,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1702,initial             ,                                        ,18.01.2007,04.11.1993,,1702,,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/4-18,2/4-18,Saga Petroleum ASA,146 ,WILDCAT,SUSPENDED,DRY,EXPLORATION, NO,26.04.1993,29.04.1993,,762-L,,NO,0.0,,SG-9111- INLINE 1004 & CROSSLINE 1520,0.0,26.0,0.0,622.0,68.0,,PLIOCENE            ,NORDLAND GP         ,NORTH SEA,TREASURE SAGA,SEMISUB STEEL,MOVEABLE,12,NO,WILDCAT,1993,1993,,,1,,,,,                    ,                    ,4,NO,,,,ED50  ,56,41,57.72,N,3,9,44.24,E,56.699367,3.162289,6284073.56,509938.55,31,2,4, ,18,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=2134,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=2134,initial             ,                                        ,18.01.2007,29.04.1995,,2134,,,296326.0,0,21980.0,,03.10.2019,03.10.2019,08.12.2019
2/7-14,2/7-14,Phillips Petroleum Company Norway,018 ,APPRAISAL,SUSPENDED,OIL,EXPLORATION, NO,09.08.1979,20.01.1980,EKOFISK,221-L,2/4-2 Ekofisk,NO,124.0,,PS 562915 SP.116,0.0,25.0,0.0,3390.0,71.0,,LATE CRETACEOUS     ,TOR FM              ,NORTH SEA,HAAKON MAGNUS,SEMISUB STEEL,MOVEABLE,1-A,NO,APPRAISAL,1979,1980,,,5,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,165,NO,,,,ED50  ,56,29,20.3,N,3,14,2.65,E,56.488972,3.234069,6260666.8,514414.24,31,2,7, ,14,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=116,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=116,initial             ,                                        ,02.04.2007,20.01.1982,,116,44072.0,43506.0,288334.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/7-19,2/7-19,Phillips Petroleum Company Norway,018 ,WILDCAT,SUSPENDED,OIL,EXPLORATION, NO,02.09.1980,02.02.1981,,262-L,2/7-19 (Ebba),YES,154.0,,PG 030615  SP.12,3.4,25.0,4876.0,4876.0,73.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,BORGSTEN DOLPHIN,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1980,1981,,,5,ULA FM,LATE JURASSIC,,,                    ,                    ,154,NO,,,,ED50  ,56,20,19.1,N,3,6,12.2,E,56.338639,3.103389,6243913.56,506391.96,31,2,7, ,19,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1367,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1367,initial             ,                                        ,17.06.2009,02.02.1983,,1367,44120.0,,288334.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
2/7-20,2/7-20,Phillips Petroleum Company Norway,018 ,WILDCAT,SUSPENDED,OIL,EXPLORATION, NO,15.10.1987,25.06.1988,EMBLA,566-L,2/7-20 Embla,YES,167.0,,NS 210  SP. 720,5.2,25.0,4508.0,4509.0,70.8,,DEVONIAN            ,NO GROUP DEFINED    ,NORTH SEA,DYVI STENA,SEMISUB STEEL,MOVEABLE,1-A,NO,WILDCAT,1987,1988,,,5,NO GROUP DEFINED,DEVONIAN,,,                    ,                    ,255,NO,,,,ED50  ,56,20,0.1,N,3,14,54.7,E,56.333361,3.248528,6243349.04,515367.19,31,2,7, ,20,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1062,https://factmaps.npd.no/factmaps/3_0/?run=WellboreExpByNPDID&scale=100000&NPDID=1062,initial             ,                                        ,10.10.2012,25.06.1990,,1062,44132.0,43534.0,290980.0,0,20900.0,,03.10.2019,03.10.2019,08.12.2019
