wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSiteSurvey,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbLicenceTargetName,wlbPluggedAbandonDate,wlbPluggedDate,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbReleasedDate,wlbDateReclass,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbNpdidSiteSurvey,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
2/5-14 A,2/5-14,Lundin Norway AS,006 C,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1208-L,,NO,,,inline 6409 & crossline 17202 (3DNQ8),,43.0,,0.0,67.0,,                    ,,NORTH SEA,MÆRSK GALLANT,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,56,36,25.78,N,3,26,2.53,E,56.607161,3.434036,6273882.33,526645.18,31,2,5, ,14,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5959,,sidetrack           ,2/5-14 S                                ,,,,5959,,,296002.0,0,1333089.0,,03.10.2019,,08.12.2019
4/4-1 A,4/4-1,Repsol Exploration Norge AS,541 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1481-L,,NO,,,SIRINOR inline 3351 & xline 2625,,43.0,,0.0,62.0,,                    ,,NORTH SEA,MÆRSK GIANT,JACK-UP 3 LEGS,MOVEABLE,TFO2009,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,56,38,8.65,N,5,8,11.53,E,56.635736,5.136536,6279019.92,631049.93,31,4,4, ,1,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7273,,sidetrack           ,4/4-1                                   ,,,,7273,,,278245.0,0,17320130.0,,03.10.2019,,08.12.2019
8/10-7 A,8/10-7,Spirit Energy Norway AS,405 ,WILDCAT,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1747-L,,NO,,,CE1202R15. Inline 1064. Crossline 2365,,55.0,,0.0,66.0,,                    ,,NORTH SEA,MAERSK INTERCEPTOR,JACK-UP 3 LEGS,MOVEABLE,TFO2006,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,57,6,54.81,N,3,3,31.5,E,57.115225,3.05875,6330355.93,503558.08,31,8,10, ,7,A,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8653,,sidetrack           ,8/10-7 S                                ,,,,8653,,,436222.0,0,4237284.0,,03.10.2019,,08.12.2019
16/1-8 A,16/1-8,Lundin Norway AS,338 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,EDVARD GRIEG,1153-L,16/1-8 Edvard Grieg,NO,,,ST9511M06 635 & X-LINE ST9511M06 1713,,25.0,,0.0,108.0,,                    ,,NORTH SEA,BREDFORD DOLPHIN,SEMISUB STEEL,MOVEABLE,TFO2004,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,58,50,8.63,N,2,14,6.36,E,58.835731,2.2351,6522162.97,455844.01,31,16,1, ,8,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5613,,sidetrack           ,16/1-8                                  ,,,,5613,4530554.0,21675433.0,373521.0,0,2986578.0,,03.10.2019,,08.12.2019
16/2-17 A,16/2-17,Statoil Petroleum AS,265 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1442-L,,NO,,,inline 4273 & crossline 3224,,22.0,,0.0,111.0,,                    ,,NORTH SEA,OCEAN VANGUARD,SEMISUB STEEL,MOVEABLE,NST2000,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,58,48,15.92,N,2,31,46.03,E,58.804421999999995,2.5294529999999997,6518520.01,472811.62,31,16,2, ,17,A,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7140,,sidetrack           ,16/2-17 S                               ,,,,7140,,,287902.0,0,1624237.0,,03.10.2019,21.02.2019,08.12.2019
16/2-22 A,16/2-22,Statoil Petroleum AS,265 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,JOHAN SVERDRUP,1647-L,16/2-6 Johan Sverdrup,NO,,,IL3105. XL3565 (LN0902STR11),,30.0,,0.0,115.0,,                    ,,NORTH SEA,DEEPSEA ATLANTIC,SEMISUB STEEL,MOVEABLE,NST2000,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,58,55,33.5,N,2,24,33.2,E,58.925971999999994,2.409222,6532109.67,465984.21,31,16,2, ,22,A,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8084,,sidetrack           ,16/2-22 S                               ,,,,8084,18387202.0,26376286.0,404360.0,0,1624237.0,,03.10.2019,,08.12.2019
16/7-11 A,16/7-11,Statoil Petroleum AS,072 F,WILDCAT,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1594-L,,NO,,,,,25.0,,0.0,80.5,,                    ,,NORTH SEA,SONGA TRYM,SEMISUB STEEL,MOVEABLE,6,NO,,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,58,22,52.95,N,2,4,5.04,E,58.381375,2.0680669999999997,6471696.43,445499.44,31,16,7, ,11,A,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=7772,,sidetrack           ,16/7-11                                 ,,,,7772,,,296164.0,0,26464459.0,,03.10.2019,,08.12.2019
24/9-12 B,24/9-12,Aker BP ASA,340 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1683-L,,NO,,,DN15M01 IL 17793 DN15M01 XL 9475,,24.0,,0.0,120.0,,                    ,,NORTH SEA,TRANSOCEAN ARCTIC,SEMISUB STEEL,MOVEABLE,TFO2004,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,59,20,58.95,N,1,49,48.47,E,59.34970799999999,1.8301310000000002,6579730.07,433469.98,31,24,9, ,12,B,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8333,,sidetrack           ,24/9-12 A                               ,,,,8333,,,294382.0,0,2986630.0,,03.10.2019,,08.12.2019
24/9-13 B,24/9-13,Aker BP ASA,869 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1778-L,,NO,,,DN15M01 Inline 17256 Xline 9555,,33.0,,0.0,117.7,,                    ,,NORTH SEA,DEEPSEA NORDKAPP,SEMISUB STEEL,MOVEABLE,TFO2016,NO,APPRAISAL,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,59,17,51.93,N,1,46,2.34,E,59.297757999999995,1.7673169999999998,6574009.95,429790.99,31,24,9, ,13,B,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=8847,,sidetrack           ,24/9-13 A                               ,,,,8847,,,507128.0,0,28973359.0,,03.10.2019,,08.12.2019
25/1-12,25/1-12,Det norske oljeselskap ASA,460 ,APPRAISAL,WILL NEVER BE DRILLED,,EXPLORATION, NO,,,,1321-L,,NO,,, ,,0.0,,0.0,0.0,,                    ,,NORTH SEA,AKER BARENTS,SEMISUB STEEL,MOVEABLE,TFO2007,NO,WILDCAT,0,0,,,80,,,,,,                    ,0,NO,,,,ED50  ,59,51,26.7,N,2,10,56.7,E,59.857417000000005,2.1824169999999996,6635969.61,454199.49,31,25,1, ,12,,, ,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6440,,initial             ,                                        ,,,,6440,,,404303.0,0,4910195.0,,03.10.2019,,08.12.2019
